Real_Requests,Predicted_Requests
8234,7807
8097,7829
7846,7764
7610,7765
7100,7829
6943,7473
6730,6884
6418,6832
6240,6318
6017,6124
5812,5870
5841,5631
5680,5480
5417,5326
5266,5226
5012,5162
5060,4896
4864,4937
4812,4801
4704,4732
4708,4585
4518,4464
4508,4443
4555,4299
4368,4304
4289,4226
4205,4221
4235,4129
4278,4190
4170,4191
4222,4098
4200,4008
4230,3967
4237,4023
4292,4124
4232,4069
4274,4142
4174,4335
4303,4720
4316,4870
4376,4740
4592,4837
4497,4703
4592,4783
4706,4995
4933,4926
5065,5081
5223,5378
5789,5461
5918,6012
6144,6259
6526,6923
6742,6968
7035,7077
7624,7492
7906,7983
8154,8392
8493,8366
8987,8842
9171,9018
9385,9178
9626,9401
9574,9443
9668,9533
10063,9572
10010,9712
10186,9885
9892,9914
9919,9948
10295,10022
10309,10033
10235,10130
10304,10159
10431,10167
10501,10225
10350,10282
10339,10372
10226,10490
9870,10331
10094,10213
9882,10155
9886,9949
10079,9999
10063,9984
9957,9986
10106,9984
10067,10086
10092,9961
9884,10187
9679,10047
10103,9776
10137,9977
9964,9843
9953,9955
10267,9942
10318,10090
10074,10148
10266,10145
10224,10207
10115,10188
10427,10214
10766,10418
11055,10541
10897,10490
11347,10656
11042,10695
11001,10937
11149,10860
11192,10924
10827,11097
11570,11145
11381,11021
11313,11367
11153,11289
11027,11155
10820,11286
10732,11033
10704,10711
10175,10650
10231,10565
10199,10360
10221,10111
10140,9997
10028,9817
10300,9901
9926,9745
9691,9960
9584,9748
9367,9610
9201,9327
9222,9274
9157,9217
9352,8879
9053,9216
8952,8847
8520,8550
8378,8652
8066,8384
7955,7869
7856,7875
7557,7663
7179,7591
6939,7034
6756,6978
6580,6773
6424,6507
6264,6213
6099,6093
6030,5879
6041,5680
5774,5607
5540,5401
5445,5241
5367,5079
5256,5024
5111,5036
5038,4966
4954,4888
4854,4714
4746,4715
4611,4499
4592,4419
4517,4376
4549,4314
4473,4294
4471,4250
4447,4250
4451,4193
4450,4198
4420,4225
4340,4268
4350,4280
4337,4283
4298,4307
4453,4307
4574,4315
4484,4414
4617,4654
4695,4737
4707,4831
4855,4820
5110,4986
5274,5438
5637,5523
6051,6088
6364,6344
6877,6905
7508,7116
8233,7422
8884,8095
9740,8571
10093,8819
10875,9143
10972,9575
11260,9752
11523,10048
11423,10554
11407,10904
11760,10941
11736,10975
11385,11105
11548,11048
11526,11471
11440,11436
11642,11436
11580,11460
11697,11424
11481,11699
11416,11525
11441,11531
11459,11414
11696,11416
11522,11476
11456,11513
11461,11641
11408,11510
11516,11425
11418,11505
11277,11472
11617,11270
11290,11460
11127,11073
11209,11095
11153,10894
11217,11058
11367,11061
11566,11264
11540,11447
11556,11427
11443,11430
11453,11473
11274,11460
11119,11422
11223,11290
11536,11257
11572,11358
11402,11451
11883,11447
11644,11578
11811,11579
11738,11686
11847,11734
11613,11735
11777,11720
12184,11699
11994,11704
12371,11744
12356,11848
12121,11876
12333,12113
12275,12080
12259,11974
12365,12378
12275,12221
12799,12360
12574,12441
12433,12418
12551,12413
11954,12671
11920,12539
11585,12419
11407,12348
10911,11789
10887,11314
10608,11047
10563,10793
10271,10615
10454,10574
10373,10570
10299,10401
10205,10466
10196,10110
9834,10089
9759,9832
9721,9735
9185,9734
9264,9537
9296,9394
9193,9320
8905,9149
8871,9187
8787,8710
8683,8568
7992,8476
7734,7993
7653,7960
7141,7656
6958,7031
6922,6892
6581,6777
6294,6544
6199,6140
5914,6101
5790,5884
5802,5607
5655,5542
5489,5352
5378,5249
5265,5100
5100,5078
5018,4946
5100,4807
4883,4777
4862,4797
4823,4569
4742,4478
5292,4485
5125,4430
4721,4540
4598,4578
4596,4405
4666,4494
4556,4431
4492,4438
4639,4372
4487,4439
4556,4366
4624,4444
4510,4463
4700,4524
4779,4530
4689,4537
4782,4474
4931,5015
5006,4785
5226,4849
5460,5409
5846,6162
6344,6522
6826,6509
7154,7157
7659,7307
8180,7702
8929,8224
9349,8874
9823,9152
10695,9572
11181,9761
11274,10186
11558,10359
11850,10692
11663,10996
11904,11033
11843,11091
12038,11193
12043,11484
12292,11657
11852,11677
11911,11793
11944,11830
11887,11733
11833,11901
12027,11708
11979,11844
11802,11677
11833,12037
11978,11917
11767,11863
11767,11686
11638,11836
11657,11805
11804,11748
11697,11493
11836,11610
11787,11734
11302,11600
11427,11441
11264,11694
11689,11045
11866,11162
11411,11548
11461,11645
11791,11511
11615,11285
11544,11487
11607,11570
11427,11479
11585,11434
11546,11517
11618,11518
11503,11594
11531,11435
11582,11516
11553,11474
11862,11490
12148,11487
12226,11516
11998,11701
12402,11837
12521,11921
12696,11976
12873,12078
12762,12073
13056,12418
13061,12455
12930,12622
12977,12672
12738,12676
12652,12765
12713,12719
12831,12655
12875,12657
12464,12602
12581,12717
12334,12553
11800,12393
11607,11745
11135,11580
11117,11644
10951,11304
10769,11274
10867,10742
10519,10749
10327,10576
9959,10537
10184,10109
10174,10114
9708,9948
9431,9799
9397,9736
9161,9625
9037,9453
8886,9143
8806,8810
9043,8483
8634,8494
8435,8404
8401,8186
8054,7913
7763,7791
7474,7842
7247,7237
7215,6918
6761,6891
6538,6693
6339,6477
6198,6211
6195,6109
5869,5892
5755,5649
9393,5483
5407,5795
5120,5301
5708,5079
5233,5037
4519,5045
5316,4965
5094,4794
4554,4795
5324,4729
5106,4574
4626,4613
5091,4678
4830,4625
4863,4539
4665,4640
4485,4676
5788,4451
4704,4477
4737,4677
4679,4776
4757,4567
4639,4658
4745,4735
4806,4655
4910,4556
4885,4976
5119,4843
5235,5112
5474,5265
5653,5213
5856,6115
6290,5644
6739,6789
7142,6970
7818,7367
8351,7838
8856,7882
9616,8683
10256,9220
10724,9418
11399,9985
11548,10303
