Real_Requests,Predicted_Requests
8234,8140
8097,8097
7846,7980
7610,7765
7100,7477
6943,7043
6730,6840
6418,6555
6240,6286
6017,6081
5812,5812
5841,5662
5680,5706
5417,5535
5266,5362
5012,5186
5060,4925
4864,4957
4812,4811
4704,4736
4708,4646
4518,4632
4508,4486
4555,4496
4368,4509
4289,4386
4205,4317
4235,4202
4278,4231
4170,4286
4222,4199
4200,4242
4230,4239
4237,4259
4292,4316
4232,4351
4274,4322
4174,4349
4303,4276
4316,4358
4376,4387
4592,4454
4497,4634
4592,4617
4706,4712
4933,4806
5065,5023
5223,5189
5789,5359
5918,5850
6144,6113
6526,6381
6742,6723
7035,6985
7624,7298
7906,7779
8154,8164
8493,8482
8987,8745
9171,9221
9385,9494
9626,9673
9574,9870
9668,9893
10063,9895
10010,10143
10186,10218
9892,10319
9919,10036
10295,10034
10309,10273
10235,10314
10304,10358
10431,10345
10501,10413
10350,10561
10339,10462
10226,10374
9870,10265
10094,9916
9882,9973
9886,9826
10079,9835
10063,9907
9957,9978
10106,9953
10067,10037
10092,10059
9884,10125
9679,9900
10103,9690
10137,9996
9964,10041
9953,9979
10267,9956
10318,10140
10074,10276
10266,10183
10224,10224
10115,10226
10427,10163
10766,10331
11055,10671
10897,11060
11347,10984
11042,11357
11001,11215
11149,11128
11192,11167
10827,11201
11570,10913
11381,11353
11313,11360
11153,11424
11027,11143
10820,11003
10732,10869
10704,10620
10175,10571
10231,10213
10199,10072
10221,9942
10140,10121
10028,9991
10300,9887
9926,10171
9691,9932
9584,9672
9367,9582
9201,9283
9222,9091
9157,9033
9352,8995
9053,9176
8952,8976
8520,8914
8378,8511
8066,8298
7955,7979
7856,7821
7557,7670
7179,7418
6939,7109
6756,6771
6580,6569
6424,6403
6264,6237
6099,6095
6030,5983
6041,5900
5774,5937
5540,5733
5445,5517
5367,5340
5256,5286
5111,5191
5038,5056
4954,4980
4854,4894
4746,4794
4611,4718
4592,4606
4517,4549
4549,4486
4473,4527
4471,4479
4447,4485
4451,4479
4450,4473
4420,4484
4340,4476
4350,4414
4337,4401
4298,4381
4453,4360
4574,4474
4484,4597
4617,4592
4695,4694
4707,4773
4855,4836
5110,4961
5274,5165
5637,5400
6051,5746
6364,6153
6877,6570
7508,7083
8233,7686
8884,8487
9740,9219
10093,10072
10875,10606
10972,11354
11260,11508
11523,11787
11423,11941
11407,11792
11760,11716
11736,11858
11385,11829
11548,11584
11526,11546
11440,11477
11642,11491
11580,11575
11697,11562
11481,11738
11416,11537
11441,11417
11459,11477
11696,11381
11522,11578
11456,11530
11461,11435
11408,11394
11516,11385
11418,11444
11277,11333
11617,11248
11290,11476
11127,11259
11209,11156
11153,11100
11217,11041
11367,11119
11566,11225
11540,11453
11556,11555
11443,11564
11453,11453
11274,11478
11119,11263
11223,11079
11536,11128
11572,11340
11402,11467
11883,11442
11644,11741
11811,11653
11738,11848
11847,11739
11613,11838
11777,11681
12184,11709
11994,12037
12371,12032
12356,12292
12121,12323
12333,12231
12275,12306
12259,12233
12365,12306
12275,12312
12799,12178
12574,12714
12433,12566
12551,12471
11954,12515
11920,12012
11585,11848
11407,11484
10911,11276
10887,10776
10608,10621
10563,10353
10271,10315
10454,10051
10373,10174
10299,10200
10205,10171
10196,10110
9834,10150
9759,9811
9721,9668
9185,9596
9264,9123
9296,9098
9193,9030
8905,9060
8871,8816
8787,8714
8683,8664
7992,8608
7734,7979
7653,7681
7141,7453
6958,6985
6922,6780
6581,6654
6294,6378
6199,6157
5914,5990
5790,5759
5802,5684
5655,5604
5489,5555
5378,5450
5265,5290
5100,5213
5018,5094
5100,4907
4883,4993
4862,4892
4823,4810
4742,4783
5292,4762
5125,5169
4721,5151
4598,4935
4596,4687
4666,4579
4556,4691
4492,4577
4639,4479
4487,4623
4556,4522
4624,4582
4510,4679
4700,4603
4779,4712
4689,4824
4782,4829
4931,4888
5006,5018
5226,5104
5460,5294
5846,5518
6344,5954
6826,6471
7154,6977
7659,7437
8180,7958
8929,8448
9349,9226
9823,9738
10695,10215
11181,11023
11274,11580
11558,11796
11850,11997
11663,12181
11904,12048
11843,12122
12038,11986
12043,12151
12292,12108
11852,12278
11911,12010
11944,11951
11887,11873
11833,11905
