Real_Requests,Predicted_Requests
8234,8259
8097,8252
7846,8229
7610,8055
7100,7838
6943,7522
6730,7263
6418,6909
6240,6576
6017,6161
5812,5852
5841,5663
5680,5492
5417,5296
5266,5107
5012,4950
5060,4755
4864,4861
4812,4670
4704,4672
4708,4551
4518,4560
4508,4507
4555,4542
4368,4566
4289,4408
4205,4334
4235,4190
4278,4253
4170,4213
4222,4130
4200,4216
4230,4243
4237,4312
4292,4311
4232,4339
4274,4269
4174,4322
4303,4215
4316,4374
4376,4347
4592,4440
4497,4629
4592,4594
4706,4734
4933,4785
5065,5071
5223,5145
5789,5319
5918,5910
6144,6161
6526,6366
6742,6715
7035,6989
7624,7245
7906,7766
8154,8147
8493,8441
8987,8717
9171,9170
9385,9429
9626,9627
9574,9933
9668,9921
10063,9961
10010,10207
10186,10206
9892,10300
9919,10081
10295,10125
10309,10249
10235,10263
10304,10267
10431,10141
10501,10200
10350,10253
10339,10109
10226,10070
9870,10003
10094,9717
9882,9791
9886,9695
10079,9739
10063,9790
9957,9776
10106,9869
10067,9926
10092,9973
9884,9966
9679,9752
10103,9697
10137,9881
9964,9853
9953,9924
10267,9872
10318,10173
10074,10335
10266,10174
10224,10318
10115,10330
10427,10264
10766,10322
11055,10609
10897,10981
11347,10933
11042,11241
11001,11188
11149,11256
11192,11267
10827,11309
11570,11054
11381,11474
11313,11502
11153,11541
11027,11291
10820,11268
10732,11114
10704,10732
10175,10813
10231,10138
10199,9944
10221,9825
10140,9937
10028,9796
10300,9880
9926,10086
9691,9802
9584,9639
9367,9411
9201,9227
9222,8965
9157,8974
9352,9020
9053,9229
8952,9062
8520,9011
8378,8743
8066,8530
7955,8255
7856,7963
7557,7811
7179,7581
6939,7278
6756,6945
6580,6776
6424,6603
6264,6413
6099,6180
6030,6041
6041,5855
5774,5769
5540,5571
5445,5394
5367,5300
5256,5265
5111,5213
5038,5083
4954,5023
4854,4913
4746,4849
4611,4816
4592,4691
4517,4582
4549,4497
4473,4518
4471,4457
4447,4479
4451,4416
4450,4415
4420,4449
4340,4448
4350,4380
4337,4355
4298,4365
4453,4315
4574,4461
4484,4572
4617,4528
4695,4625
4707,4737
4855,4810
5110,4886
5274,5169
5637,5400
6051,5681
6364,6047
6877,6575
7508,7079
8233,7776
8884,8493
9740,9080
10093,10140
10875,10485
10972,11166
11260,11323
11523,11711
11423,11873
11407,11788
11760,11782
11736,11933
11385,12037
11548,11881
11526,11768
11440,11549
11642,11423
11580,11295
11697,11225
11481,11239
11416,10824
11441,10919
11459,10795
11696,10916
11522,11138
11456,11056
11461,11229
11408,11335
11516,11315
11418,11379
11277,11363
11617,11315
11290,11549
11127,11302
11209,11226
11153,11140
11217,11095
11367,11191
11566,11257
11540,11607
11556,11588
11443,11525
11453,11461
11274,11464
11119,11313
11223,11203
11536,11191
11572,11450
11402,11633
11883,11494
11644,11927
11811,11757
11738,11944
11847,11737
11613,11954
11777,11724
12184,11723
11994,12063
12371,12033
12356,12362
12121,12340
12333,12370
12275,12413
12259,12437
12365,12407
12275,12318
12799,12264
12574,12783
12433,12580
12551,12637
11954,12686
11920,12171
11585,12045
11407,11424
10911,11258
10887,10671
10608,10597
10563,10402
10271,10363
10454,10088
10373,10292
10299,10137
10205,10093
10196,10023
9834,9838
9759,9627
9721,9439
9185,9468
9264,9100
9296,9138
9193,9109
8905,9206
8871,8953
8787,8932
8683,8885
7992,8677
7734,8242
7653,7906
7141,7650
6958,7230
6922,7019
6581,6754
6294,6633
6199,6306
5914,6087
5790,5902
5802,5750
5655,5585
5489,5436
5378,5279
5265,5155
5100,5145
5018,4956
5100,4913
4883,5110
4862,4963
4823,4960
4742,4898
5292,4873
5125,5218
4721,5196
4598,5094
4596,4691
4666,4647
4556,4693
4492,4466
4639,4479
4487,4701
4556,4478
4624,4636
4510,4670
4700,4573
4779,4720
4689,4685
4782,4682
4931,4811
5006,4917
5226,5002
5460,5153
5846,5528
6344,6063
6826,6446
7154,7001
7659,7385
8180,7817
8929,8364
9349,9137
9823,9536
10695,10198
11181,10952
11274,11499
11558,11733
11850,11953
11663,12262
11904,12148
11843,12168
12038,12063
12043,12260
12292,12033
11852,12229
11911,11834
11944,11772
11887,11675
11833,11502
12027,11372
11979,11417
11802,11648
11833,11367
11978,11436
11767,11647
11767,11565
11638,11583
11657,11502
11804,11567
11697,11693
11836,11612
11787,11738
11302,11735
11427,11417
11264,11443
11689,11183
11866,11601
11411,11660
11461,11359
11791,11436
11615,11657
11544,11653
11607,11525
11427,11512
11585,11513
11546,11587
11618,11453
11503,11698
11531,11429
11582,11515
11553,11611
11862,11629
12148,11963
12226,12160
11998,12213
12402,11995
12521,12472
12696,12593
12873,12759
12762,12865
13056,12970
13061,13251
12930,13206
12977,13216
12738,13149
12652,12990
12713,12878
12831,12685
12875,12828
12464,12933
12581,12474
12334,12545
11800,12207
11607,11751
11135,11454
11117,10831
10951,10716
10769,10552
10867,10536
10519,10606
10327,10284
9959,10152
10184,9765
10174,9930
9708,9929
9431,9567
9397,9133
9161,9080
9037,8911
8886,8811
8806,8709
9043,8756
8634,8992
8435,8664
8401,8555
8054,8334
7763,8091
7474,7807
7247,7480
7215,7381
6761,7210
6538,6814
6339,6600
6198,6361
6195,6236
5869,6137
5755,5812
9393,5691
5407,7603
5120,5644
5708,5745
5233,5028
4519,5418
5316,4683
5094,4428
4554,5509
5324,4918
5106,5064
4626,5156
5091,5282
4830,4771
4863,5129
4665,4815
4485,4790
5788,4797
4704,5186
4737,4394
4679,4909
4757,5556
4639,5482
4745,5045
4806,4725
4910,4709
4885,4937
5119,4808
5235,5178
5474,5328
5653,5474
5856,5866
6290,5790
6739,6502
7142,6981
7818,7188
8351,7785
8856,8567
9616,9416
10256,10036
10724,10674
11399,11212
11548,11747
11931,12008
12038,12413
12122,12501
12192,12673
12122,12678
11970,12541
11928,12456
11989,12142
11881,12101
11914,11856
12093,11760
11989,11754
11826,11683
11662,11416
11735,11136
11736,11235
11760,11238
11442,11217
11643,11049
11695,11295
11360,11328
11861,11157
11805,11717
11670,11708
11813,11767
11534,11699
11211,11614
11336,11296
11535,11133
11251,11321
11402,11242
11521,11354
11677,11484
11866,11769
11695,11789
11765,11790
11554,11867
11717,11552
11523,11734
11499,11554
11372,11501
11661,11324
11589,11513
11702,11516
11786,11762
12036,11895
12087,12113
12247,12162
12026,12268
12395,12159
12418,12373
12399,12402
12294,12438
12359,12344
12431,12444
12764,12549
13066,12775
12825,13155
13097,13059
13129,13250
