Real_Requests,Predicted_Requests
18097,17985
17781,17627
15373,17689
15759,16293
14485,16091
13327,15540
12042,14106
9520,12854
9076,10931
7638,9608
7163,8798
6714,6940
5016,6117
4236,4623
3281,2557
2844,1530
2365,1004
2100,783
1952,585
1754,718
1227,110
887,-173
1013,192
793,88
703,395
662,655
559,968
476,1458
320,1081
325,1080
242,834
265,845
367,1165
195,1113
92,1042
93,713
133,582
394,469
313,547
136,571
346,493
371,580
139,500
292,338
363,381
401,466
527,492
849,589
619,830
1031,803
1376,1029
1629,1370
2158,1632
1947,2226
3061,2251
4124,2947
4368,4056
5615,4460
6801,5524
7753,6995
9800,7924
11034,9742
11403,11441
12311,12165
13533,13242
13901,14347
15632,15081
16453,16372
17540,17582
17694,18438
18884,19110
18991,19778
19809,20468
20912,21206
20849,21818
21971,21915
22318,22714
21430,22799
21784,22350
20953,22091
20195,21511
21080,20589
20517,21044
21387,20583
21484,20410
22090,20782
21514,20434
22666,20479
21672,20963
22403,21033
22189,21047
22932,21517
22958,21351
22851,21737
23736,21646
24423,22167
23612,22990
24318,23646
23629,23738
24349,24583
25238,24654
25387,25276
26951,25483
27017,26268
26521,26901
26111,26640
26587,26731
27013,26911
25875,27521
26341,26953
25724,26707
26338,26301
26619,26366
25188,26501
25403,25544
26167,25335
25248,26228
24482,25509
23718,24905
23016,24060
21811,22839
22365,21883
22671,20950
21845,21406
20833,21366
19807,20520
20124,19364
19407,19315
19649,19246
19068,18759
18516,18629
18501,17851
17540,17431
17246,17252
16797,16593
15794,16098
15480,15805
14149,15370
13462,14801
12792,13848
11995,13405
10426,12069
9404,10671
8613,9835
8322,9094
7018,8443
5119,7132
4737,5441
3977,4355
3961,3559
2974,2942
2585,2076
2409,1694
1939,1342
1765,961
1614,789
1214,787
1324,972
1173,823
846,931
816,748
663,1180
558,1076
573,951
515,892
389,1201
375,1408
442,1117
416,1000
389,813
355,960
340,790
408,675
304,722
280,562
410,474
322,606
240,440
325,367
238,478
326,390
242,420
434,375
432,411
703,518
1075,689
1915,1007
2532,1690
3630,2443
6604,3411
8893,5919
12580,8487
17785,11781
21122,16705
23861,20902
26257,24167
28166,27356
31439,29930
33708,33109
35443,35906
35476,37673
