Real_Requests,Predicted_Requests
8234,8189
8097,8180
7846,8127
7610,7981
7100,7652
6943,7460
6730,7277
6418,7023
6240,6656
6017,6264
5812,5874
5841,5589
5680,5422
5417,5152
5266,5044
5012,4947
5060,4792
4864,4857
4812,4760
4704,4666
4708,4574
4518,4613
4508,4581
4555,4608
4368,4674
4289,4499
4205,4381
4235,4266
4278,4254
4170,4307
4222,4187
4200,4219
4230,4264
4237,4315
4292,4314
4232,4358
4274,4126
4174,4468
4303,4183
4316,4349
4376,4294
4592,4456
4497,4681
4592,4569
4706,4717
4933,4798
5065,5065
5223,5191
5789,5366
5918,6031
6144,6163
6526,6394
6742,6779
7035,7008
7624,7336
7906,7930
8154,7530
8493,8204
8987,8587
9171,9094
9385,9378
9626,9581
9574,9832
9668,9882
10063,9903
10010,9775
10186,9968
9892,10230
9919,10116
10295,10147
10309,10267
10235,10322
10304,10360
10431,10321
10501,10295
10350,10357
10339,10304
10226,10209
9870,10096
10094,9884
9882,9870
9886,9785
10079,9767
10063,9774
9957,9787
10106,9833
10067,9902
10092,10010
9884,10012
9679,9853
10103,9225
10137,9762
9964,9841
9953,9800
10267,9798
10318,9939
10074,10183
10266,10216
10224,10304
10115,10295
10427,10240
10766,10292
11055,10463
10897,10829
11347,10911
11042,11153
11001,11192
11149,11169
11192,11259
10827,11315
11570,11089
11381,11476
11313,11566
11153,11435
11027,11284
10820,11151
10732,11080
10704,10892
10175,10754
10231,10077
10199,10014
10221,9906
10140,10171
10028,10109
10300,9981
9926,10193
9691,9967
9584,9343
9367,9344
9201,9167
9222,8868
9157,8853
9352,8887
9053,8983
8952,8925
8520,8893
8378,8701
8066,8551
7955,8386
7856,8126
7557,7930
7179,7166
6939,6922
6756,6655
6580,6419
6424,6339
6264,6215
6099,6054
6030,5900
6041,5731
5774,5597
5540,5465
5445,5282
5367,5268
5256,5282
5111,5270
5038,5111
4954,5029
4854,4943
4746,4884
4611,4803
4592,4729
4517,4639
4549,4541
4473,4539
4471,4479
4447,4466
4451,4415
4450,4423
4420,4459
4340,4501
4350,4396
4337,4357
4298,4345
4453,4324
4574,4498
4484,4646
4617,4567
4695,4751
4707,4799
4855,4809
5110,4935
5274,5384
5637,5436
6051,6009
6364,6299
6877,6661
7508,7530
8233,7933
8884,7773
9740,9021
10093,8829
10875,9967
10972,10864
11260,11117
11523,11388
11423,11675
11407,11270
11760,11352
11736,11591
11385,11712
11548,11527
11526,11494
11440,11442
11642,11392
11580,11427
11697,11348
11481,11347
11416,11126
11441,10965
11459,10928
11696,11416
11522,11424
11456,11425
11461,11326
11408,11381
11516,11384
11418,11425
11277,11337
11617,11304
11290,11561
11127,11348
11209,11182
11153,11137
11217,11063
11367,11145
11566,11373
11540,11673
11556,11515
11443,11539
11453,11456
11274,11436
11119,11257
11223,11115
11536,11177
11572,11529
11402,11596
11883,11467
11644,11776
11811,11740
11738,12019
11847,11940
11613,11859
11777,11709
12184,11697
11994,11992
12371,12011
12356,12323
12121,12452
12333,12352
12275,12439
12259,12425
12365,12401
12275,12277
12799,12199
12574,13149
12433,12813
12551,12494
11954,12621
11920,12004
