Real_Requests,Predicted_Requests
7448,7522
7218,7433
7139,7265
7258,7167
6697,7126
6466,6815
6140,6600
6015,6261
5792,6034
5670,5822
5666,5619
5363,5500
5229,5351
4936,5187
4774,4932
4709,4743
4415,4586
4246,4336
4265,4153
4136,4047
4049,3882
4035,3831
3962,3791
3797,3773
3797,3687
3859,3698
3806,3762
3844,3780
3718,3861
3671,3748
3685,3687
3701,3731
3692,3722
3689,3854
3696,3745
3654,3787
3657,3716
3755,3672
3855,3650
3910,3863
3867,3974
3925,3920
3963,3977
4128,4011
4118,4180
4345,4197
4383,4417
4461,4483
5002,4561
5078,5129
5221,5300
5466,5274
5683,5542
5985,5827
6276,6168
6457,6485
6631,6696
6972,6871
7028,7138
7259,7258
7414,7460
7567,7581
8042,7700
8002,8060
8014,8147
8309,8186
8412,8369
8445,8447
8761,8515
8861,8711
8832,8834
8925,8884
8961,8927
9225,8951
9006,9130
9077,9051
9278,9033
8899,9134
8801,8922
8832,8752
8820,8712
8987,8638
8996,8742
8986,8842
8783,8811
9048,8711
9100,8865
9191,9014
9085,9158
8882,9108
8954,8947
8928,8938
8900,8867
9066,8951
8986,9060
9480,8988
9407,9167
9523,9380
9397,9561
9476,9537
9287,9551
9662,9385
9423,9612
9388,9517
9824,9421
9438,9730
9573,9521
9977,9584
9769,9768
9565,9786
9620,9613
9668,9568
9745,9604
9483,9747
9117,9518
9250,9325
9580,9220
9527,9440
9241,9542
8947,9357
8914,8896
8811,8571
9051,8601
8780,8803
8838,8707
8533,8739
8617,8438
8584,8473
8157,8517
8231,8162
8140,8089
8121,7917
7786,7909
7923,7722
7822,7646
7587,7598
7385,7437
7501,7256
7135,7294
6844,7081
6700,6795
6458,6570
6286,6336
6087,6101
6134,5901
5860,5929
5604,5793
5606,5567
5308,5477
5213,5283
5136,5098
4967,5001
4886,4868
4792,4766
4657,4667
4463,4519
4543,4348
4494,4308
4395,4309
4329,4275
4200,4084
4181,4015
4101,4014
3982,3942
3861,3862
3932,3769
4018,3772
3936,3850
3960,3889
3817,3923
3776,3820
3852,3759
3862,3753
3869,3578
3865,3548
3884,3594
3861,3756
3981,3826
4063,3971
4023,3804
4158,3965
4282,3912
4404,4232
4669,4472
4983,4780
5348,5142
5757,5440
6261,5976
6468,6569
6904,6651
7156,7172
7368,7494
7719,7733
7964,8037
8149,8256
8208,8312
8421,8369
8473,8535
8527,8642
8588,8695
8556,8726
8566,8722
8575,8734
8382,8711
8693,8593
8610,8710
8604,8694
8781,8709
8730,8816
8839,8830
8844,8923
8891,8961
8660,8993
8653,8852
8753,8750
8858,8747
8842,8848
8866,8854
8803,8873
9084,8858
9139,9025
9018,9148
9118,9159
8969,9182
9021,9168
9262,9123
9423,9265
9557,9446
9528,9625
9044,9659
9226,9263
9139,9196
9154,9108
9214,9084
9312,9289
9340,9317
9237,9362
9425,9457
9322,9522
9590,9461
9588,9526
9427,9598
9508,9527
9616,9541
9890,9607
9974,9900
10099,9812
10281,10041
10138,10347
10116,10279
10306,10200
