Real_Requests,Predicted_Requests
8415,7771
8408,8913
8050,9108
7768,8077
7728,8540
7593,8312
7362,7763
7108,7986
6767,7523
6830,7251
6587,7331
6425,6388
6403,6062
5710,5852
5592,6695
5577,6695
5174,5214
5199,4922
5157,4882
5049,4755
5191,5480
5022,5238
4875,5238
4757,4244
4769,5014
4826,5014
4651,4940
4804,3876
4592,4860
4558,3950
4563,3834
4610,4677
4687,4385
4605,4423
4502,4604
4452,4593
4645,4571
4791,4578
4775,4599
4732,4633
4798,4679
4645,4748
4919,4748
4960,4774
5174,4811
5414,4899
5332,5022
5479,5160
6069,5272
6245,5494
6293,5708
6531,5884
6794,6123
6723,6386
7230,6517
7556,6714
7606,6967
7765,7624
8108,7762
8327,8234
8316,8460
8420,8612
8508,8674
8782,6699
8901,8960
9079,7829
9078,9085
9138,9112
9265,8858
9422,8800
9613,9022
9384,9120
9462,9253
9640,8583
9852,9263
9682,9580
9727,9653
9906,9596
9208,8465
8972,9464
9055,9392
9231,9314
9323,9296
9460,9320
9383,9312
9372,9311
9584,9371
9767,9487
9806,9476
9871,9574
9902,9523
9899,9746
9888,9728
10042,9694
10000,9750
10086,9853
10197,10025
10501,10110
10167,10209
10294,10230
10337,10156
10260,10189
10274,10279
10304,10084
10406,10311
10299,10502
10591,10470
10703,10588
10559,10728
10363,10665
10669,10513
10399,10446
10844,10365
10583,10556
10595,10459
10158,10565
10591,10465
10033,10345
9923,10430
9858,9957
9644,9850
9662,9679
9674,9528
9652,9533
9350,9416
9110,9277
9250,9094
9145,9129
9154,8976
9114,9116
8819,9129
8666,9065
8612,8803
8400,8500
8274,8318
8247,8053
8085,8059
8129,9054
7752,7975
7753,7798
7470,7611
7292,7605
7178,7467
7208,6832
6945,6711
6979,6589
6808,6416
6453,6366
6512,6098
5935,5900
5902,5647
5930,5498
5760,5383
5577,5151
5576,5118
5315,5239
5424,5204
5407,5010
5279,4966
5062,5068
5024,4948
4951,4888
5033,4844
5045,4853
4951,4825
5012,4808
4922,4783
4873,4729
4790,4705
4796,4705
4826,4698
4639,4705
4641,4674
4766,4643
4815,4593
4830,4628
4836,4641
4882,4687
5025,4729
5101,4862
5155,4924
5488,4979
5595,5220
5872,5410
6274,5852
6693,6243
7253,6607
7925,6906
8097,7408
8917,7651
9419,8099
9552,8685
9859,8995
10161,9351
10573,9551
11001,9774
11234,9971
11375,10155
11273,10279
11104,10349
11203,10632
11079,10567
11072,10550
11137,10290
11208,10548
11270,10779
11018,10892
11253,10843
11246,10915
11127,10742
11097,10720
11079,10686
11261,10677
11470,10592
11145,10760
11093,10773
11379,11012
11364,11269
11300,11290
11416,11256
11387,11310
11712,11305
11567,11436
11565,11353
11415,11530
11391,11529
11623,11530
11839,11512
11679,11555
11349,11578
11434,11523
11218,11593
11485,11559
11224,11514
11171,11342
11322,11306
11224,11284
11293,11285
11918,11247
11775,11366
11976,11506
11614,11665
11560,11553
11592,11458
11925,11521
11927,11732
11975,11744
11865,11673
12002,11568
12163,11601
12336,11695
12236,11943
12116,12120
12158,12171
12137,12202
12060,12197
11878,12162
11585,12070
11465,11964
11446,11825
11087,11687
11053,11492
10800,11327
10397,11170
9981,10926
9867,10830
9760,10593
9665,10385
9899,9934
9602,9834
9750,9667
9725,9652
9409,9664
9435,9568
9626,9480
9317,9429
9282,9339
8956,9138
8741,8909
8651,8589
8407,8448
8279,8361
8374,8276
7937,8214
7648,7991
7667,7831
7477,7807
7174,7630
7030,7391
6736,6973
6575,6754
6493,6471
6271,6223
6117,5991
6155,5870
