Real_Requests,Predicted_Requests
7448,7320
7218,7296
7139,7133
7258,7062
6697,7052
6466,6854
6140,6680
6015,6421
5792,6129
5670,5907
5666,5722
5363,5557
5229,5374
4936,5190
4774,4927
4709,4725
4415,4585
4246,4382
4265,4187
4136,4087
4049,3931
4035,3865
3962,3806
3797,3788
3797,3768
3859,3762
3806,3798
3844,3805
3718,3827
3671,3791
3685,3733
3701,3743
3692,3755
3689,3780
3696,3755
3654,3758
3657,3727
3755,3726
3855,3765
3910,3856
3867,3933
3925,3963
3963,4007
4128,4046
4118,4143
4345,4196
4383,4389
4461,4494
5002,4610
5078,4947
5221,5137
5466,5343
5683,5539
5985,5764
6276,6006
6457,6341
6631,6575
6972,6788
7028,7053
7259,7229
7414,7430
7567,7589
8042,7734
8002,7969
8014,8118
8309,8192
8412,8307
8445,8416
8761,8478
8861,8638
8832,8773
8925,8833
8961,8890
9225,8908
9006,9016
9077,9019
9278,9030
8899,9109
8801,9024
8832,8926
8820,8838
8987,8762
8996,8775
8986,8820
8783,8799
9048,8741
9100,8728
9191,8828
9085,8928
8882,8952
8954,8867
8928,8856
8900,8843
9066,8820
8986,8902
9480,8914
9407,9144
9523,9298
9397,9437
9476,9470
9287,9511
9662,9421
9423,9557
9388,9528
9824,9512
9438,9660
9573,9598
9977,9633
9769,9804
9565,9874
9620,9779
9668,9754
9745,9666
9483,9757
9117,9598
9250,9323
9580,9239
9527,9308
9241,9411
8947,9263
8914,9050
8811,8902
9051,8782
8780,8805
8838,8706
8533,8686
8617,8534
8584,8435
8157,8443
8231,8251
8140,8146
8121,8029
7786,7930
7923,7683
7822,7657
7587,7539
7385,7396
7501,7269
7135,7243
6844,7102
6700,6886
6458,6684
6286,6459
6087,6273
6134,6066
5860,5868
5604,5704
5606,5479
5308,5384
5213,5195
5136,5051
4967,4928
4886,4800
4792,4684
4657,4604
4463,4533
4543,4422
4494,4378
4395,4425
4329,4404
4200,4332
4181,4277
4101,4246
3982,4180
3861,4105
3932,4018
4018,3996
3936,4017
3960,4022
3817,4024
3776,3941
3852,3904
3862,3908
3869,3902
3865,3913
3884,3916
3861,3916
3981,3919
4063,3979
4023,4073
4158,4101
4282,4192
4404,4313
4669,4522
4983,4700
5348,4930
5757,5230
6261,5679
6468,6239
6904,6624
7156,7040
7368,7389
7719,7662
7964,7959
8149,8207
8208,8382
8421,8546
8473,8682
8527,8785
8588,8852
8556,8861
8566,8879
8575,8854
8382,8839
8693,8713
8610,8705
8604,8645
8781,8580
8730,8603
8839,8598
8844,8613
8891,8649
8660,8650
8653,8585
8753,8519
8858,8552
8842,8610
8866,8648
8803,8672
9084,8699
9139,8815
9018,8917
9118,8955
8969,9019
9021,8982
9262,9002
9423,9114
9557,9225
9528,9401
9044,9509
9226,9388
9139,9360
9154,9327
9214,9285
9312,9268
9340,9291
9237,9328
9425,9298
9322,9365
9590,9352
9588,9457
9427,9532
9508,9528
9616,9546
9890,9580
9974,9731
10099,9883
10281,10047
10138,10280
10116,10362
10306,10388
10316,10463
10327,10382
10334,10402
10443,10420
9878,10462
9951,10170
9800,10017
9599,9802
9600,9594
9386,9506
9224,9334
9221,9125
8975,9021
8681,8837
8602,8632
8628,8587
8875,8493
8930,8504
8800,8537
8505,8536
8704,8450
8401,8487
8255,8392
8364,8266
7986,8269
8044,7950
7981,7888
7726,7737
7515,7552
7459,7381
7303,7332
7260,7170
7030,7111
6622,6970
6484,6726
6464,6500
6322,6318
6286,6177
6058,6041
5838,5877
5485,5724
5318,5478
5260,5285
5110,5137
5263,5011
4584,4956
4859,4737
4822,4693
4524,4652
4573,4543
4572,4501
4338,4494
4232,4419
4320,4321
4474,4303
6801,4376
6577,5260
4661,5960
3995,5803
4300,5125
4353,4913
3792,4839
4003,4406
4252,4191
3765,4212
4167,4045
4309,4030
3900,4174
3976,4028
4194,3962
4226,4020
4318,4132
4270,4155
4355,4123
4565,4153
