Real_Requests,Predicted_Requests
7448,6975
7218,7196
7139,7212
7258,7130
6697,7192
6466,6974
6140,6837
6015,6690
5792,6537
5670,6400
5666,6260
5363,6129
5229,5964
4936,5797
4774,5570
4709,5346
4415,5156
4246,4901
4265,4663
4136,4527
4049,4372
4035,4238
3962,4160
3797,4105
3797,4002
3859,3899
3806,3924
3844,3899
3718,3929
3671,3797
3685,3746
3701,3746
3692,3776
3689,3772
3696,3743
3654,3746
3657,3704
3755,3683
3855,3775
3910,3912
3867,3980
3925,3931
3963,3970
4128,4009
4118,4179
4345,4191
4383,4417
4461,4479
5002,4560
5078,5108
5221,5251
5466,5398
5683,5598
5985,5841
6276,6136
6457,6440
6631,6648
6972,6797
7028,7082
7259,7209
7414,7368
7567,7493
8042,7620
8002,7932
8014,8035
8309,8023
8412,8107
8445,8167
8761,8195
8861,8324
8832,8477
8925,8500
8961,8512
9225,8528
9006,8734
9077,8779
9278,8793
8899,8893
8801,8796
8832,8581
8820,8453
8987,8462
8996,8639
8986,8815
8783,8824
9048,8637
9100,8786
9191,8942
9085,9132
8882,9130
8954,8906
8928,8861
8900,8850
9066,8901
8986,9064
9480,9058
9407,9465
9523,9635
9397,9714
9476,9541
9287,9527
9662,9378
9423,9628
9388,9589
9824,9460
9438,9774
9573,9579
9977,9635
9769,9953
9565,10002
9620,9673
9668,9531
9745,9598
9483,9710
9117,9487
9250,8979
9580,9030
9527,9404
9241,9584
8947,9274
8914,8788
8811,8622
9051,8260
8780,8850
8838,8572
8533,8605
8617,8355
8584,8559
8157,8086
8231,8145
8140,8213
8121,8023
7786,8124
7923,7946
7822,7906
7587,7836
7385,7637
7501,7453
7135,7449
6844,7310
6700,7055
6458,6909
6286,6707
6087,6519
6134,6376
5860,6337
5604,6210
5606,6066
5308,6009
5213,5870
5136,5736
4967,5654
4886,5494
4792,5348
4657,5253
4463,5150
4543,4948
4494,4847
4395,4814
4329,4689
4200,4547
4181,4385
4101,4291
3982,4183
3861,4042
3932,3949
4018,3958
3936,4043
3960,4009
3817,3992
3776,3853
3852,3791
3862,3872
3869,3887
3865,3911
3884,3897
3861,3897
3981,3897
4063,4027
4023,4124
4158,4085
4282,4219
4404,4358
4669,4495
4983,4776
5348,5097
5757,5491
6261,5952
6468,6483
6904,6728
7156,7149
7368,7395
7719,7606
7964,7944
8149,8173
8208,8347
8421,8385
8473,8504
8527,8534
8588,8538
8556,8501
8566,8415
8575,8318
8382,8221
8693,8009
8610,8122
8604,8012
8781,8041
8730,8172
8839,8208
8844,8386
8891,8465
8660,8561
8653,8473
8753,8497
8858,8607
8842,8753
8866,8825
8803,8866
9084,8832
9139,9093
9018,9169
9118,9099
8969,9160
9021,8986
9262,9052
9423,9241
9557,9465
9528,9660
9044,9650
9226,9186
9139,9295
9154,9207
9214,9162
9312,9168
9340,9295
9237,9345
9425,9230
9322,9416
9590,9281
9588,9629
9427,9626
9508,9448
9616,9525
9890,9611
9974,9921
10099,10090
10281,10251
10138,10523
10116,10332
10306,10209
10316,10441
10327,10431
10334,10419
10443,10386
9878,10558
9951,9806
9800,9879
9599,9718
9600,9189
9386,9504
9224,9211
9221,9033
8975,8999
8681,8734
8602,8436
8628,8345
8875,8358
8930,8646
8800,8747
8505,8646
8704,8345
8401,8616
8255,8290
8364,8199
7986,8338
8044,7924
7981,7974
7726,7890
7515,7703
7459,7502
7303,7342
7260,7157
7030,7132
6622,6919
6484,6545
6464,6427
6322,6303
6286,6247
6058,6407
5838,6289
5485,6163
5318,6042
5260,5882
5110,5730
5263,5618
4584,5569
4859,5310
4822,5260
4524,5211
4573,5004
4572,4894
4338,4845
4232,4709
4320,4485
4474,4473
6801,4569
6577,6276
4661,6780
3995,5424
4300,4776
4353,4805
3792,4523
4003,3688
4252,3871
3765,4279
4167,3806
4309,3900
3900,4302
3976,4043
4194,3774
4226,4112
4318,4194
4270,4145
4355,4182
4565,4337
4721,4386
4912,4961
5314,5359
5801,5550
5898,5868
6378,6045
6824,6537
7039,6927
7526,7192
7554,7699
7860,7704
8296,7982
8437,8429
8530,8548
8668,8574
8371,8700
8655,8510
8612,8557
8738,8480
8785,8448
8752,8378
8611,8297
8737,8058
8779,7987
8714,8138
8909,8042
8916,8136
9041,8298
8912,8460
8909,8562
9022,8590
8939,8772
8856,8855
8862,8787
9129,8833
9023,9142
9696,9002
8997,9560
9094,9164
9350,9134
8938,9361
9162,9166
9423,9011
9393,9400
9106,9520
9217,9088
9237,9203
9277,9309
9308,9343
9381,9243
9266,9378
9549,9330
9366,9512
9483,9382
9480,9457
9494,9478
9455,9461
9519,9618
9501,9527
9708,9494
9449,9782
9610,9431
9937,9553
10180,10024
10308,10356
10359,10366
10183,10488
10418,10364
10394,10542
10397,10539
10589,10527
10315,10661
10202,10491
10199,10241
10086,10233
10142,10136
9945,10087
9972,9855
9824,9875
9518,9658
9203,9370
9368,8871
9365,9087
9344,9145
8947,8855
8900,8737
9083,8768
8755,8717
8901,8282
8891,8748
8601,8664
8396,8119
8345,8355
8197,8338
8049,7973
8078,8123
7678,8081
7814,7762
7563,7771
7434,7580
7294,7459
7142,7356
6951,7224
7061,7067
6648,7049
6585,6849
6167,6734
6046,6534
5918,6378
5566,6265
5483,6121
5608,5979
5320,5917
5166,5806
5336,5658
4843,5652
4832,5479
4580,5311
4336,5088
4637,4821
4478,4830
4399,4716
4500,4586
4250,4635
4178,4463
4275,4317
4073,4394
4070,4183
4157,4123
4026,4212
3855,4084
3896,3882
3782,3934
3777,3797
3893,3772
3903,3961
3867,3924
3976,3886
4002,4002
4126,3998
4179,4178
4261,4259
4498,4326
4583,4602
4527,4699
4757,4630
5221,4872
5458,5354
5807,5624
6329,5999
6466,6553
6962,6674
7305,7159
7546,7518
7739,7738
7988,7953
8059,8158
8410,8206
8435,8481
8642,8520
8723,8613
8664,8664
8791,8596
8686,8602
8786,8487
8970,8421
8922,8430
9114,8479
9046,8599
8791,8588
8839,8446
9078,8410
9080,8639
8885,8777
8741,8707
8826,8557
8969,8604
8844,8727
9290,8740
9319,9137
9114,9312
9298,9148
9165,9312
9122,9207
9237,9107
9209,9263
