Cluster,Metric,Model,Total,Average,Max,Ideal Total,Deviation,Deviation (%)
0,unallocated_requests,Bayesian Linear Regressor,1251.0,0.271484375,827.0,0.0,1251.0,
0,unallocated_requests,EWARegressor,1251.0,0.271484375,827.0,0.0,1251.0,
0,unallocated_requests,KNNRegressor,2018.0,0.4379340277777778,827.0,0.0,2018.0,
0,unallocated_requests,Scikit-Learn Regressor,1251.0,0.271484375,827.0,0.0,1251.0,
0,unallocated_requests,SRPRegressor,1251.0,0.271484375,827.0,0.0,1251.0,
1,unallocated_requests,Bayesian Linear Regressor,24.0,0.005208333333333333,24.0,0.0,24.0,
1,unallocated_requests,EWARegressor,24.0,0.005208333333333333,24.0,0.0,24.0,
1,unallocated_requests,KNNRegressor,24.0,0.005208333333333333,24.0,0.0,24.0,
1,unallocated_requests,Scikit-Learn Regressor,24.0,0.005208333333333333,24.0,0.0,24.0,
1,unallocated_requests,SRPRegressor,24.0,0.005208333333333333,24.0,0.0,24.0,
2,unallocated_requests,Bayesian Linear Regressor,0.0,0.0,0.0,0.0,0.0,
2,unallocated_requests,EWARegressor,0.0,0.0,0.0,0.0,0.0,
2,unallocated_requests,KNNRegressor,2886.0,0.6680555555555555,2886.0,0.0,2886.0,
2,unallocated_requests,Scikit-Learn Regressor,2886.0,0.6680555555555555,2886.0,0.0,2886.0,
2,unallocated_requests,SRPRegressor,2886.0,0.6680555555555555,2886.0,0.0,2886.0,
3,unallocated_requests,Bayesian Linear Regressor,28584.0,6.203125,14773.0,0.0,28584.0,
3,unallocated_requests,EWARegressor,31541.0,6.844835069444445,14773.0,0.0,31541.0,
3,unallocated_requests,KNNRegressor,70677.0,15.337890625,14773.0,0.0,70677.0,
3,unallocated_requests,Scikit-Learn Regressor,31419.0,6.818359375,14773.0,0.0,31419.0,
3,unallocated_requests,SRPRegressor,28584.0,6.203125,14773.0,0.0,28584.0,
4,unallocated_requests,Bayesian Linear Regressor,43308.0,10.45329471397538,24159.0,0.0,43308.0,
4,unallocated_requests,EWARegressor,45758.0,11.044653632633358,24159.0,0.0,45758.0,
