Real_Requests,Predicted_Requests
8234,8157
8097,8246
7846,8220
7610,8038
7100,7872
6943,7610
6730,7384
6418,7088
6240,6703
6017,6277
5812,5881
5841,5627
5680,5477
5417,5216
5266,4951
5012,4895
5060,4747
4864,4761
4812,4662
4704,4568
4708,4447
4518,4507
4508,4487
4555,4531
4368,4621
4289,4433
4205,4334
4235,4241
4278,4230
4170,4282
4222,4164
4200,4187
4230,4244
4237,4307
4292,4306
4232,4346
4274,4229
4174,4318
4303,4178
4316,4328
4376,4343
4592,4445
4497,4648
4592,4560
4706,4711
4933,4797
5065,5034
5223,5153
5789,5325
5918,5960
6144,6093
6526,6323
6742,6694
7035,6945
7624,7244
7906,7824
8154,8178
8493,8461
8987,8717
9171,9199
9385,9467
9626,9673
9574,9965
9668,9998
10063,10014
10010,10211
10186,10301
9892,10359
9919,10167
10295,10181
10309,10288
10235,10307
10304,10302
10431,10217
10501,10149
10350,10222
10339,10146
10226,10030
9870,9902
10094,9723
9882,9722
9886,9663
10079,9685
10063,9721
9957,9743
10106,9824
10067,9915
10092,10024
9884,9975
9679,9753
10103,9629
10137,9771
9964,9818
9953,9795
10267,9831
10318,10055
10074,10244
10266,10289
10224,10381
10115,10322
10427,10300
10766,10343
11055,10533
10897,10864
11347,10962
11042,11229
11001,11281
11149,11273
11192,11370
10827,11378
11570,11053
11381,11398
11313,11545
11153,11525
11027,11316
10820,11262
10732,11147
10704,10881
10175,10788
10231,10381
10199,10031
10221,9876
10140,9931
10028,9943
10300,9826
9926,10119
9691,9922
9584,9634
9367,9468
9201,9219
9222,8838
9157,8896
9352,8911
9053,9069
8952,9028
8520,8997
8378,8753
8066,8570
7955,8380
7856,8064
7557,7824
7179,7559
6939,7263
6756,6956
6580,6691
6424,6628
6264,6472
6099,6287
6030,6107
6041,5911
5774,5753
5540,5542
5445,5304
5367,5259
5256,5219
5111,5212
5038,5075
4954,5007
4854,4897
4746,4835
4611,4828
4592,4738
4517,4637
4549,4534
4473,4533
4471,4467
4447,4452
4451,4425
4450,4405
4420,4434
4340,4490
4350,4393
4337,4346
4298,4334
4453,4318
4574,4484
4484,4624
4617,4558
4695,4692
4707,4785
4855,4799
5110,4912
5274,5188
5637,5375
6051,5771
6364,6203
6877,6571
7508,7082
8233,7737
8884,8520
9740,9208
10093,10011
10875,10476
10972,11138
11260,11315
11523,11593
11423,11862
11407,11813
11760,11803
11736,12005
11385,12030
11548,11810
11526,11761
11440,11661
11642,11542
11580,11519
11697,11349
11481,11255
11416,10968
11441,10785
11459,10736
11696,10808
11522,11024
11456,11198
11461,11176
11408,11238
11516,11327
11418,11382
11277,11293
11617,11311
11290,11590
11127,11341
11209,11182
11153,11141
11217,11053
11367,11150
11566,11281
11540,11558
11556,11604
11443,11564
11453,11452
11274,11411
11119,11335
11223,11167
11536,11165
11572,11383
11402,11520
11883,11526
11644,11820
11811,11751
11738,11994
11847,11918
11613,11899
11777,11712
12184,11676
11994,11966
12371,11985
12356,12329
12121,12476
12333,12385
12275,12470
12259,12470
12365,12418
12275,12334
12799,12210
12574,12758
12433,12677
12551,12439
11954,12637
11920,12044
11585,11919
11407,11563
10911,11358
10887,10747
10608,10587
10563,10463
10271,10336
10454,10184
10373,10325
10299,10214
10205,10155
10196,10015
9834,9914
9759,9572
9721,9323
9185,9392
9264,9080
9296,9020
9193,9168
8905,9145
8871,9068
8787,9011
8683,9011
7992,8862
7734,8471
7653,8087
7141,7797
6958,7300
6922,7010
6581,6818
6294,6584
6199,6363
5914,6240
5790,5992
5802,5816
5655,5742
5489,5489
5378,5288
5265,5156
5100,5089
5018,4926
5100,4842
4883,5002
4862,5078
4823,4955
4742,4895
5292,4905
5125,5225
4721,5234
4598,5000
4596,4731
4666,4607
4556,4701
4492,4554
4639,4455
4487,4660
4556,4561
4624,4611
4510,4703
4700,4587
4779,4709
4689,4803
4782,4774
4931,4777
5006,4906
5226,4966
5460,5134
5846,5635
6344,6136
6826,6566
7154,7025
7659,7404
8180,7926
8929,8416
9349,9123
9823,9665
10695,10090
11181,10860
11274,11468
11558,11661
11850,11930
11663,12218
11904,12137
11843,12198
12038,12157
12043,12208
12292,12155
11852,12213
11911,11928
11944,11793
11887,11727
11833,11599
12027,11414
11979,11418
11802,11483
11833,11298
11978,11197
11767,11508
11767,11548
11638,11509
11657,11467
11804,11568
11697,11619
11836,11618
11787,11704
11302,11719
11427,11356
11264,11477
11689,11229
11866,11531
11411,11802
11461,11498
11791,11401
11615,11696
11544,11695
11607,11572
11427,11548
11585,11507
11546,11567
11618,11545
11503,11574
11531,11486
11582,11511
11553,11583
11862,11690
12148,11972
12226,12154
11998,12273
12402,11991
12521,12350
12696,12678
12873,12749
12762,12890
13056,12969
13061,13195
12930,13227
12977,13145
12738,13079
12652,12856
12713,12742
12831,12806
12875,12880
12464,12942
12581,12475
12334,12425
11800,12224
11607,11726
11135,11445
11117,10791
10951,10798
10769,10646
10867,10519
10519,10656
10327,10292
9959,10170
10184,9851
10174,9921
9708,9991
9431,9579
9397,9157
9161,8987
9037,8871
8886,8837
8806,8674
9043,8738
8634,8967
8435,8829
8401,8689
8054,8459
7763,8199
7474,7913
7247,7576
7215,7393
6761,7260
6538,6945
6339,6562
6198,6383
6195,6323
5869,6232
5755,5972
9393,5786
5407,7482
5120,6555
5708,5750
5233,5358
4519,5228
5316,4747
5094,4796
4554,5008
5324,4856
5106,5096
4626,5288
5091,5051
4830,5112
4863,4985
4665,5024
4485,4547
5788,4271
4704,5348
4737,4330
4679,4181
4757,5824
4639,5044
4745,4687
4806,4944
4910,4927
4885,4772
5119,4966
5235,5200
5474,5135
5653,5605
5856,5846
6290,5896
6739,6433
7142,6895
7818,7340
8351,7859
8856,8317
9616,9405
10256,9971
10724,10605
11399,11125
11548,11757
11931,11999
12038,12339
12122,12483
12192,12576
12122,12577
11970,12510
11928,12347
11989,12235
11881,12145
11914,11958
12093,11852
11989,11854
11826,11703
11662,11513
11735,11225
11736,11098
11760,11103
11442,11171
11643,10973
11695,11212
11360,11324
11861,11220
11805,11611
11670,11729
11813,11750
11534,11837
11211,11586
11336,11263
11535,11220
11251,11326
11402,11227
11521,11371
11677,11531
11866,11732
11695,11858
11765,11800
11554,11866
11717,11701
11523,11634
11499,11540
11372,11471
11661,11201
11589,11517
11702,11621
11786,11761
12036,11986
12087,12197
12247,12178
12026,12294
12395,12207
12418,12306
12399,12334
12294,12352
12359,12302
12431,12417
12764,12504
13066,12864
12825,13179
13097,13152
13129,13284
13040,13285
13136,13129
12869,13212
12669,12874
12592,12618
12195,12456
12075,12112
11648,11993
11308,11577
11097,11101
10921,10981
10912,10822
10718,10810
10694,10561
10298,10422
9897,9987
10224,9595
9793,9836
9360,9459
