Real_Requests,Predicted_Requests
18097,19706
17781,17188
15373,18396
15759,16391
14485,16792
13327,16299
12042,13920
9520,11865
9076,9121
7638,22686
7163,6821
6714,5667
5016,5130
4236,4067
3281,2795
2844,2183
2365,370
2100,-486
1952,-465
1754,-1407
1227,-2550
887,-2162
1013,-2271
793,-2327
703,-1561
662,17863
559,13787
476,-2036
320,12288
325,-1000
242,-1000
265,-2835
367,-1370
195,-1370
92,2702
93,270
133,338
394,201
313,284
136,200
346,246
371,200
139,267
292,209
363,267
401,296
527,313
849,313
619,409
1031,299
1376,505
1629,722
2158,975
1947,840
3061,840
4124,1284
4368,1939
5615,2689
6801,2479
7753,3733
9800,3733
11034,3733
11403,5598
12311,7490
13533,5734
13901,10960
15632,14736
16453,12536
17540,20250
17694,19777
18884,13867
18991,20473
19809,20719
20912,10321
20849,21008
21971,20748
22318,21054
21430,21259
21784,20568
20953,20580
20195,21241
21080,21282
20517,21625
21387,22795
21484,23263
22090,22700
21514,22334
22666,21992
21672,22318
22403,22034
22189,22001
22932,22253
22958,22731
22851,22676
23736,23299
24423,23873
23612,23326
24318,23457
23629,23636
24349,24087
25238,24493
25387,24212
26951,24991
27017,25905
26521,26770
26111,26552
26587,26667
27013,26844
25875,27129
26341,27110
25724,26548
26338,26847
26619,27091
25188,27364
25403,26762
26167,26889
25248,26628
24482,25719
23718,25814
23016,25003
21811,24526
22365,22862
22671,22454
21845,22675
20833,22682
19807,23095
20124,22523
19407,20742
19649,18435
19068,18642
18516,17880
18501,16841
17540,16621
17246,16286
16797,15557
15794,23380
15480,15892
14149,16001
13462,15090
12792,12500
11995,11378
10426,11085
9404,9731
8613,8741
8322,7906
7018,7166
5119,6261
4737,4034
3977,2910
3961,2389
2974,1793
2585,338
2409,1394
1939,338
1765,57
1614,-126
1214,338
1324,338
1173,1009
846,911
816,751
663,603
558,487
573,436
515,434
389,286
375,215
442,263
416,212
389,242
355,245
340,256
408,247
304,299
280,299
410,281
322,302
240,487
325,273
238,281
326,473
242,473
434,324
432,435
703,533
1075,512
1915,626
2532,970
3630,1897
6604,3140
8893,5296
12580,7483
17785,10086
21122,8082
23861,15231
26257,18580
28166,18580
31439,19243
33708,23967
35443,25555
35476,28204
37618,22405
37501,21529
38245,32415
40828,32980
41684,20280
40397,36771
41978,37372
41514,32339
42115,33924
43020,20280
45136,38058
44137,20280
44259,38945
44612,41332
43794,44233
45700,44388
45671,44501
44368,20280
46747,44829
45719,45256
45446,45641
47551,45590
48073,45966
47036,46707
47261,46765
47794,47073
49068,47543
49595,47846
46926,48151
46477,48129
45509,47972
45569,47515
45093,46815
47075,45915
45120,45945
44842,45673
45672,45540
44474,45560
45424,45437
44609,45106
43896,45004
43366,44815
42727,44354
43059,44005
43212,43532
44713,43252
43289,43416
43410,43400
44665,43537
43700,43858
43409,43956
43538,43695
42048,43744
43015,43472
42050,43142
41537,42812
38777,42438
39016,41485
37432,40879
35358,39763
34299,38424
32513,36976
30671,35723
30068,34055
28362,32582
27602,31183
27294,27022
25792,28800
26031,27824
25635,27016
25067,26471
23596,25964
24407,24819
23089,24791
21667,24194
22103,22540
20775,22179
19484,22048
19295,21235
18835,20261
18649,18978
19052,17564
17811,16697
16524,16427
14419,16897
13274,14810
11807,14190
11192,12242
12423,10018
9488,9438
7612,8301
6622,6658
5785,5279
5435,4725
9075,4314
3219,4529
3541,3329
2342,2205
2235,1948
2025,548
1335,1389
1112,232
862,1341
948,548
698,1103
736,584
567,820
646,558
482,546
539,460
2355,464
523,381
464,353
470,378
434,328
520,274
326,263
335,293
289,343
435,311
367,298
330,307
489,307
483,356
527,299
588,263
778,279
1110,410
1801,784
2136,1547
3275,2251
5641,4135
7932,5926
10620,5734
