Real_Requests,Predicted_Requests
18097,18181
17781,17890
15373,17606
15759,16795
14485,16266
13327,15496
12042,14556
9520,13464
9076,11955
7638,10662
7163,9264
6714,8007
5016,6926
4236,5642
3281,4447
2844,3373
2365,2538
2100,1833
1952,1283
1754,925
1227,592
887,366
1013,224
793,157
703,200
662,288
559,427
476,567
320,634
325,709
242,776
265,858
367,978
195,1079
92,1117
93,1102
133,1093
394,1093
313,1171
136,1221
346,1218
371,1256
139,1280
292,1246
363,1251
401,1270
527,1298
849,1350
619,1480
1031,1511
1376,1649
1629,1849
2158,2083
1947,2421
3061,2618
4124,3079
4368,3736
5615,4326
6801,5155
7753,6132
9800,7157
11034,8540
11403,9963
12311,11163
13533,12327
13901,13532
15632,14538
16453,15740
17540,16856
17694,17953
18884,18795
18991,19698
19809,20364
20912,21020
20849,21690
21971,22144
22318,22719
21430,23141
21784,23178
20953,23210
20195,22917
21080,22465
20517,22273
21387,21878
21484,21743
22090,21629
21514,21636
22666,21521
21672,21709
22403,21608
22189,21683
22932,21691
22958,21857
22851,22009
23736,22131
24423,22443
23612,22938
24318,23151
23629,23466
24349,23555
25238,23757
25387,24088
26951,24414
27017,25040
26521,25579
26111,25876
26587,26008
27013,26170
25875,26441
26341,26274
25724,26245
26338,26006
26619,25981
25188,26005
25403,25609
26167,25364
25248,25378
24482,25096
23718,24676
23016,24048
21811,23360
22365,22501
22671,21939
21845,21664
20833,21265
19807,20670
20124,19921
19407,19457
19649,18944
19068,18580
18516,18195
18501,17740
17540,17447
17246,17036
16797,16602
15794,16190
15480,15701
14149,15250
13462,14559
12792,13845
11995,13111
10426,12293
9404,11306
8613,10325
8322,9356
7018,8518
5119,7514
4737,6287
3977,5229
3961,4266
2974,3551
2585,2786
2409,2171
1939,1690
1765,1281
1614,1004
1214,812
1324,654
1173,609
846,611
816,605
663,662
558,687
573,717
515,787
389,899
375,967
442,977
416,1024
389,1060
355,1115
340,1128
408,1139
304,1176
280,1166
410,1157
322,1187
240,1173
325,1153
238,1159
326,1126
242,1126
434,1095
432,1120
703,1141
1075,1232
1915,1405
2532,1784
3630,2271
6604,2976
8893,4388
12580,6175
17785,8652
21122,12097
23861,15776
26257,19454
28166,22994
31439,26251
33708,29620
35443,32775
35476,35589
37618,37631
37501,39592
38245,40873
40828,41814
41684,42977
40397,43851
41978,43893
41514,44016
42115,43648
43020,43308
45136,43023
44137,43280
44259,43197
44612,43088
43794,43040
45700,42698
45671,42939
44368,43161
46747,42964
45719,43571
45446,43643
47551,43689
48073,44340
47036,45010
47261,45322
47794,45641
49068,45962
49595,46719
46926,47419
46477,47013
45509,46549
45569,45906
45093,45361
47075,44778
45120,45019
44842,44482
45672,44097
44474,44090
45424,43620
44609,43738
43896,43490
43366,43048
42727,42645
43059,42156
43212,41889
44713,41781
43289,42281
43410,42334
44665,42527
43700,43027
43409,43118
43538,43070
42048,43070
43015,42560
42050,42617
41537,42248
38777,41808
39016,40592
37432,39677
35358,38531
34299,36960
32513,35377
30671,33581
30068,31601
28362,29915
27602,28143
27294,26706
25792,25502
26031,24219
25635,23491
25067,22874
23596,22352
24407,21653
23089,21388
21667,20989
22103,20383
20775,20138
19484,19581
19295,18941
18835,18433
18649,17944
19052,17596
17811,17454
16524,17037
14419,16436
13274,15365
11807,14230
11192,12978
12423,11780
9488,11231
7612,10095
6622,8736
5785,7380
5435,6215
9075,5225
3219,5439
3541,4202
2342,3337
2235,2316
2025,1578
1335,1011
1112,453
862,124
948,-109
698,-208
736,-298
567,-293
646,-325
482,-234
539,-20
2355,119
523,739
464,745
470,717
434,731
520,1001
326,1014
335,1007
289,971
435,946
367,970
330,959
489,937
483,949
527,971
588,994
778,1024
1110,1095
1801,1255
2136,1562
3275,1914
5641,2635
7932,3819
10620,5434
15161,7506
20847,10456
23496,14433
27320,18343
29494,22496
31709,26335
34593,29914
37550,33410
38391,36835
38770,39600
40215,41644
41312,43389
41453,44797
43276,45632
44376,46481
44152,47160
45257,47266
46783,47316
46801,47533
47712,47437
47587,47368
47781,47150
49015,47043
46815,47224
46375,46624
48675,45926
47997,46072
47291,45992
48016,45782
47887,45828
47684,45780
48947,45718
48888,46117
50606,46385
50585,47293
48615,48014
48468,47827
49147,47651
47869,47791
47787,47435
49210,47180
47101,47479
46193,46979
47446,46362
46845,46225
46119,45903
45318,45541
45901,44943
46489,44697
47382,44792
45971,45196
45376,45027
44953,44767
45145,44412
45736,44359
46503,44599
45660,44992
45757,45032
43724,45180
43951,44521
43591,44118
44244,43791
43242,43696
42724,43254
41587,42822
41064,42099
39037,41355
39099,40056
38544,39122
36324,38288
