Real_Requests,Predicted_Requests
18097,16330
17781,16936
15373,17247
15759,16361
14485,16192
13327,15731
12042,15286
9520,14843
9076,13933
7638,13202
7163,12344
6714,11339
5016,10431
4236,9084
3281,7858
2844,6395
2365,5168
2100,4216
1952,3488
1754,3085
1227,2636
887,2151
1013,1752
793,1542
703,1474
662,1329
559,1174
476,1052
320,839
325,630
242,583
265,484
367,523
195,532
92,373
93,203
133,133
394,170
313,424
136,420
346,255
371,341
139,403
292,219
363,286
401,379
527,452
849,569
619,856
1031,725
1376,1049
1629,1439
2158,1780
1947,2312
3061,2239
4124,3111
4368,4308
5615,4818
6801,5882
7753,7105
9800,8216
11034,10108
11403,11612
12311,12176
13533,12821
13901,13872
15632,14423
16453,15564
17540,16516
17694,17406
18884,17729
18991,18264
19809,18500
20912,18770
20849,19263
21971,19426
22318,19725
21430,19798
21784,19404
20953,19070
20195,18356
21080,17745
20517,17381
21387,17055
21484,16994
22090,16849
21514,17205
22666,17413
21672,17968
22403,18375
22189,18905
22932,19493
22958,20036
22851,20981
23736,21697
24423,22277
23612,23265
24318,23958
23629,24235
24349,24299
25238,24445
25387,24849
26951,25429
27017,26429
26521,27214
26111,27462
26587,27026
27013,26874
25875,27254
26341,26848
25724,26537
26338,25901
26619,26012
25188,26153
25403,25478
26167,25028
25248,25254
24482,25117
23718,24318
23016,23201
21811,22262
22365,21167
22671,20778
21845,21256
20833,21338
19807,20517
20124,19270
19407,18978
19649,18690
19068,18563
18516,18336
18501,17724
17540,17769
17246,17385
16797,16918
15794,16421
15480,16085
14149,15570
13462,14836
12792,14051
11995,13209
10426,12255
9404,11265
8613,10116
8322,9041
7018,8098
5119,6995
4737,5581
3977,4173
3961,3146
2974,2690
2585,2124
2409,1747
1939,1513
1765,1462
1614,1541
1214,1541
1324,1524
1173,1559
846,1604
816,1434
663,1397
558,1112
573,998
515,960
389,1098
375,996
442,743
416,670
389,624
355,633
340,525
408,459
304,524
280,418
410,379
322,464
240,398
325,333
238,353
326,274
242,354
434,267
432,415
703,487
1075,739
1915,1149
2532,2032
3630,2920
6604,4106
8893,7081
12580,10203
17785,14368
21122,19529
23861,24113
26257,27404
28166,29878
31439,31905
33708,34735
35443,37099
35476,38754
37618,38631
37501,39841
38245,39790
40828,39953
41684,41587
40397,42503
41978,41402
41514,41373
42115,40763
43020,41222
45136,41810
44137,44155
44259,44024
44612,43780
43794,43988
45700,43225
45671,45488
44368,45468
46747,44548
45719,46666
45446,45646
47551,45633
48073,47383
47036,48318
47261,47908
47794,47275
49068,47760
49595,49517
46926,50031
46477,46747
45509,46234
45569,45033
45093,45252
47075,44711
45120,46879
44842,44777
45672,44573
44474,45059
45424,43881
44609,45396
43896,43838
43366,43509
42727,42831
43059,42208
43212,42565
44713,42823
43289,44766
43410,43503
44665,43699
43700,44650
43409,43897
43538,43457
42048,43089
43015,41950
42050,43235
41537,39198
38777,33990
39016,38198
37432,36261
35358,37417
34299,34617
32513,33438
30671,31267
30068,29483
28362,28572
27602,27172
27294,26433
25792,26055
26031,24628
25635,25048
25067,24708
23596,24400
24407,23056
23089,23566
21667,22733
22103,21658
20775,21743
19484,20634
19295,19925
18835,19234
18649,18815
19052,18682
17811,18764
16524,18136
14419,17330
13274,15757
11807,14391
11192,12958
12423,11882
9488,11952
7612,10932
6622,9484
5785,7979
5435,6954
9075,6216
3219,7197
3541,5778
2342,4694
2235,3306
2025,2492
1335,2699
1112,1768
862,1922
948,1443
698,1778
736,1502
567,1426
646,944
482,1267
539,1613
2355,1263
523,2889
464,1173
470,564
434,958
520,1255
326,1042
335,452
289,486
435,345
367,581
330,346
489,344
483,474
527,473
588,516
778,842
1110,947
1801,1208
2136,1813
3275,2557
5641,3900
7932,6310
10620,8888
15161,11918
20847,17045
23496,23024
27320,26579
29494,30708
31709,33161
34593,35429
37550,38307
38391,41116
38770,42566
40215,41600
41312,42701
41453,43160
43276,42359
44376,43345
44152,44123
45257,43537
46783,44139
46801,45461
47712,45605
