Time,Active AMFs
0,1
10,1
20,1
30,1
40,1
50,1
60,1
70,1
80,1
90,1
100,1
110,1
120,1
130,1
140,1
150,1
160,1
170,1
180,1
190,1
200,1
210,1
220,1
230,1
240,1
250,1
260,1
270,1
280,1
290,1
300,1
310,1
320,1
330,1
340,1
350,1
360,1
370,1
380,1
390,1
400,1
410,1
420,1
430,1
440,1
450,1
460,1
470,1
480,1
490,1
500,1
510,1
520,1
530,1
540,1
550,1
560,1
570,1
580,1
590,1
600,1
610,2
620,2
630,2
640,2
650,2
660,2
670,2
680,2
690,2
700,2
710,2
720,2
730,2
740,2
750,2
760,2
770,2
780,2
790,2
800,2
810,2
820,2
830,2
840,2
850,2
860,2
870,2
880,2
890,2
900,2
910,2
920,2
930,2
940,2
950,2
960,2
970,2
980,2
990,2
1000,2
1010,2
1020,2
1030,2
1040,2
1050,2
1060,2
1070,2
1080,2
1090,2
1100,2
1110,2
1120,2
1130,2
1140,2
1150,2
1160,2
1170,2
1180,2
1190,2
1200,2
1210,2
1220,2
1230,2
1240,2
1250,2
1260,2
1270,2
1280,2
1290,2
1300,2
1310,1
1320,1
1330,1
1340,1
1350,1
1360,1
1370,1
1380,1
1390,1
1400,1
1410,1
1420,1
1430,1
1440,1
1450,1
1460,1
1470,1
1480,1
1490,1
1500,1
1510,1
1520,1
1530,1
1540,1
1550,1
1560,1
1570,1
1580,1
1590,1
1600,1
1610,1
1620,1
1630,1
1640,1
1650,1
1660,1
1670,1
1680,1
1690,1
1700,1
1710,1
1720,1
1730,1
1740,1
1750,1
1760,1
1770,1
1780,1
1790,1
1800,1
1810,1
1820,1
1830,1
1840,1
1850,1
1860,1
1870,1
1880,1
1890,1
1900,1
1910,2
1920,2
1930,2
1940,2
1950,2
1960,2
1970,2
1980,2
1990,2
2000,2
2010,2
2020,2
2030,2
2040,2
2050,2
2060,2
2070,2
2080,2
2090,2
2100,2
2110,2
2120,2
2130,2
2140,2
2150,2
2160,2
2170,2
2180,2
2190,2
2200,2
2210,2
2220,2
2230,2
2240,2
2250,2
2260,2
2270,2
2280,2
2290,2
2300,2
2310,2
2320,2
2330,2
2340,2
2350,2
2360,2
2370,2
2380,2
2390,2
2400,2
2410,2
2420,2
2430,2
2440,2
2450,2
2460,2
2470,2
2480,2
2490,2
2500,2
2510,2
2520,2
2530,2
2540,2
2550,2
2560,2
2570,2
2580,2
2590,2
2600,2
2610,2
2620,2
2630,2
2640,2
2650,2
2660,2
2670,2
2680,2
2690,2
2700,2
2710,2
2720,2
2730,2
2740,2
2750,2
2760,1
2770,1
2780,1
2790,1
2800,1
2810,1
2820,1
2830,1
2840,1
2850,1
2860,1
2870,1
2880,1
2890,1
2900,1
2910,1
2920,1
2930,1
2940,1
2950,1
2960,1
2970,1
2980,1
2990,1
3000,1
3010,1
3020,1
3030,1
3040,1
3050,1
3060,1
3070,1
3080,1
3090,1
3100,1
3110,1
3120,1
3130,1
3140,1
3150,1
3160,1
3170,1
3180,1
3190,1
3200,1
3210,1
3220,1
3230,1
3240,1
3250,1
3260,1
3270,1
3280,1
3290,1
3300,1
3310,1
3320,1
3330,1
3340,1
3350,2
