Time,ON AMFs
0,4
10,4
20,4
30,3
40,3
50,3
60,3
70,3
80,3
90,3
100,3
110,3
120,3
130,3
140,3
150,3
160,3
170,3
180,3
190,3
200,3
210,3
220,2
230,2
240,2
250,2
260,2
270,2
280,2
290,2
300,2
310,2
320,2
330,2
340,2
350,2
360,2
370,2
380,2
390,2
400,2
410,2
420,2
430,2
440,2
450,2
460,2
470,3
480,3
490,3
500,3
510,3
520,3
530,3
540,3
550,3
560,4
570,4
580,4
590,4
600,4
610,4
620,4
630,4
640,4
650,4
660,4
670,4
680,4
690,4
700,4
710,4
720,4
730,4
740,4
750,4
760,4
770,4
780,4
790,4
800,4
810,4
820,4
830,4
840,4
850,4
860,4
870,4
880,4
890,4
900,4
910,4
920,4
930,4
940,4
950,4
960,4
970,4
980,4
990,4
1000,4
1010,4
1020,4
1030,4
1040,4
1050,4
1060,4
1070,4
1080,4
1090,4
1100,4
1110,4
1120,4
1130,4
1140,4
1150,4
1160,4
1170,4
1180,4
1190,4
1200,4
1210,4
1220,4
1230,4
1240,4
1250,4
1260,4
1270,4
1280,4
1290,4
1300,4
1310,4
1320,4
1330,4
1340,4
1350,4
1360,4
1370,4
1380,4
1390,3
1400,3
1410,3
1420,3
1430,3
1440,3
1450,3
1460,3
1470,3
1480,3
1490,3
1500,3
1510,3
1520,3
1530,3
1540,3
1550,3
1560,3
1570,3
1580,3
1590,3
1600,3
1610,3
1620,2
1630,2
1640,2
1650,2
1660,2
1670,2
1680,2
1690,2
1700,2
1710,2
1720,2
1730,2
1740,2
1750,2
1760,2
1770,2
1780,2
1790,2
1800,2
1810,2
1820,3
1830,3
1840,3
1850,3
1860,3
1870,3
1880,4
1890,4
1900,4
1910,4
1920,4
1930,4
1940,4
1950,4
1960,4
1970,4
1980,4
1990,4
2000,4
2010,4
2020,4
2030,4
2040,4
2050,4
2060,4
2070,4
2080,4
2090,4
2100,4
2110,4
2120,4
2130,4
2140,4
2150,4
2160,4
2170,4
2180,4
2190,4
2200,4
2210,4
2220,4
2230,4
2240,4
2250,4
2260,4
2270,4
2280,4
2290,4
2300,4
2310,4
2320,4
2330,4
2340,4
2350,4
2360,4
2370,4
2380,4
2390,4
2400,4
2410,4
2420,4
2430,4
2440,4
2450,4
2460,4
2470,4
2480,4
2490,4
2500,4
2510,4
2520,4
2530,4
2540,4
2550,4
2560,4
2570,4
2580,4
2590,4
2600,4
2610,4
2620,4
2630,4
2640,4
2650,4
2660,4
2670,4
2680,4
2690,4
2700,4
2710,4
2720,4
2730,4
2740,4
2750,4
2760,4
2770,4
2780,4
2790,4
2800,4
2810,4
2820,4
2830,4
2840,3
2850,3
2860,3
2870,3
2880,3
2890,3
2900,3
2910,3
2920,3
2930,3
2940,3
2950,3
2960,3
2970,3
2980,3
2990,3
3000,3
3010,3
3020,3
3030,3
3040,3
3050,3
3060,3
3070,3
3080,3
3090,3
3100,3
3110,3
3120,3
3130,2
3140,2
3150,2
3160,2
3170,2
3180,2
3190,2
3200,2
3210,2
3220,2
3230,2
3240,3
3250,3
3260,3
3270,3
3280,3
3290,3
3300,3
3310,3
3320,4
3330,4
3340,4
3350,4
3360,4
3370,4
3380,4
3390,4
3400,4
3410,4
3420,4
3430,4
3440,4
3450,4
3460,4
3470,4
3480,4
3490,4
3500,4
3510,4
3520,4
3530,4
3540,4
3550,4
3560,4
3570,4
3580,4
3590,4
3600,4
3610,4
3620,4
3630,4
3640,4
3650,4
3660,4
3670,4
3680,4
3690,4
3700,4
3710,4
3720,4
3730,4
3740,4
3750,4
3760,4
3770,4
3780,4
3790,4
3800,4
3810,4
3820,4
3830,4
3840,4
3850,4
3860,4
3870,4
3880,4
3890,4
3900,4
3910,4
3920,4
3930,4
3940,4
3950,4
3960,4
3970,4
3980,4
3990,4
4000,4
4010,4
4020,4
4030,4
4040,4
4050,4
4060,4
4070,4
4080,4
4090,4
4100,4
4110,4
4120,4
4130,4
4140,4
4150,4
4160,4
4170,4
4180,4
4190,4
4200,4
4210,4
4220,4
4230,4
4240,4
4250,4
4260,4
4270,3
4280,3
4290,3
4300,3
4310,3
4320,3
4330,3
4340,3
4350,3
4360,3
4370,3
4380,3
4390,3
4400,3
4410,3
4420,3
4430,3
4440,3
4450,3
4460,3
4470,3
4480,3
4490,3
4500,3
4510,3
4520,3
4530,3
4540,3
4550,3
4560,3
4570,3
4580,2
4590,2
4600,2
4610,2
4620,2
4630,2
4640,2
4650,2
4660,2
4670,2
4680,3
4690,3
4700,3
4710,3
4720,3
4730,3
4740,3
4750,3
4760,4
4770,4
4780,4
4790,4
4800,4
4810,4
4820,4
4830,4
4840,4
4850,4
4860,4
4870,4
4880,4
4890,4
4900,4
4910,4
4920,4
4930,4
4940,4
4950,4
4960,4
4970,4
4980,4
4990,4
5000,4
5010,4
5020,4
5030,4
5040,4
5050,4
5060,4
5070,4
5080,4
5090,4
5100,4
5110,4
5120,4
5130,4
5140,4
5150,4
5160,4
5170,4
5180,4
5190,4
5200,4
5210,4
5220,4
5230,4
5240,4
5250,4
5260,4
5270,4
5280,4
5290,4
5300,4
5310,4
5320,4
5330,4
5340,4
5350,4
5360,4
5370,4
5380,4
5390,4
5400,4
5410,4
5420,4
5430,4
5440,4
5450,4
5460,4
5470,4
5480,4
5490,4
5500,4
5510,4
5520,4
5530,4
5540,4
5550,4
5560,4
5570,4
5580,4
5590,4
5600,4
5610,4
5620,4
5630,4
5640,4
5650,4
5660,4
5670,4
5680,4
5690,3
5700,3
5710,3
5720,3
5730,3
5740,3
5750,3
5760,3
5770,3
5780,3
5790,3
5800,3
5810,3
5820,3
5830,3
5840,3
5850,3
5860,3
5870,3
5880,3
5890,3
5900,3
5910,3
5920,3
5930,3
5940,3
5950,3
5960,3
5970,3
5980,3
5990,3
6000,2
6010,2
6020,2
6030,2
6040,2
6050,2
6060,2
6070,2
6080,2
6090,2
6100,2
6110,2
6120,3
6130,3
6140,3
6150,3
6160,3
6170,3
6180,3
6190,3
6200,4
6210,4
6220,4
6230,4
6240,4
6250,4
6260,4
6270,4
6280,4
6290,4
6300,4
6310,4
6320,4
6330,4
6340,4
6350,4
6360,4
6370,4
6380,4
6390,4
6400,4
6410,4
6420,4
6430,4
6440,4
6450,4
6460,4
6470,4
6480,4
6490,4
6500,4
6510,4
6520,4
6530,4
6540,4
6550,4
6560,4
6570,4
6580,4
6590,4
6600,4
6610,4
6620,4
6630,4
6640,4
6650,4
6660,4
6670,4
6680,4
6690,4
6700,4
6710,4
6720,4
6730,4
6740,4
6750,4
6760,4
6770,4
6780,4
6790,4
6800,4
6810,4
6820,4
6830,4
6840,4
6850,4
6860,4
6870,4
6880,4
6890,4
6900,4
6910,4
6920,4
6930,4
6940,4
6950,4
6960,4
6970,4
6980,4
6990,4
7000,4
7010,4
7020,4
7030,4
7040,4
7050,4
7060,4
7070,4
7080,4
7090,4
7100,4
7110,4
7120,4
7130,4
7140,4
7150,4
7160,4
7170,3
7180,3
7190,3
7200,3
7210,3
7220,3
7230,3
7240,3
7250,3
7260,3
7270,3
7280,3
7290,3
7300,3
7310,3
7320,3
7330,3
7340,3
7350,3
7360,3
7370,3
7380,3
7390,3
7400,3
7410,3
7420,3
7430,3
7440,2
7450,2
7460,2
7470,2
7480,2
7490,2
7500,2
7510,2
7520,2
7530,2
7540,2
7550,2
7560,3
7570,3
7580,3
7590,3
7600,3
7610,3
7620,3
7630,3
7640,4
7650,4
7660,4
7670,4
7680,4
7690,4
7700,4
7710,4
7720,4
7730,4
7740,4
7750,4
7760,4
7770,4
7780,4
7790,4
7800,4
7810,4
7820,4
7830,4
7840,4
7850,4
7860,4
7870,4
7880,4
7890,4
7900,4
7910,4
7920,4
7930,4
7940,4
7950,4
7960,4
7970,4
7980,4
7990,4
8000,4
8010,4
8020,4
8030,4
8040,4
8050,4
8060,4
8070,4
8080,4
8090,4
8100,4
8110,4
8120,4
8130,4
8140,4
8150,4
8160,4
8170,4
8180,4
8190,4
8200,4
8210,4
8220,4
8230,4
8240,4
8250,4
8260,4
8270,4
8280,4
8290,4
8300,4
8310,4
8320,4
8330,4
8340,4
8350,4
8360,4
8370,4
8380,4
8390,4
8400,4
8410,4
8420,4
8430,4
8440,4
8450,5
8460,5
8470,4
8480,4
8490,4
8500,4
8510,4
8520,4
8530,4
8540,4
8550,4
8560,4
8570,4
8580,4
8590,4
8600,4
8610,3
8620,3
8630,3
8640,3
8650,3
8660,3
8670,3
8680,3
8690,3
8700,3
8710,3
8720,3
8730,3
8740,3
8750,3
8760,3
8770,3
8780,3
8790,3
8800,3
8810,3
8820,3
8830,3
8840,3
8850,3
8860,3
8870,3
8880,2
8890,3
8900,3
8910,2
8920,2
8930,2
8940,2
8950,2
8960,2
8970,2
8980,2
8990,2
9000,2
9010,2
9020,2
9030,2
9040,2
9050,2
9060,2
9070,3
9080,3
9090,3
9100,3
9110,3
9120,3
9130,3
9140,3
9150,3
9160,4
9170,4
9180,4
9190,4
9200,4
9210,4
9220,4
9230,4
9240,4
9250,4
9260,4
9270,4
9280,4
9290,4
9300,4
9310,4
9320,4
9330,4
9340,4
9350,4
9360,4
9370,4
9380,4
9390,4
9400,4
9410,4
9420,4
9430,4
9440,4
9450,4
9460,4
9470,4
9480,4
9490,4
