Time,Active AMFs
0,2
10,2
20,2
30,2
40,2
50,2
60,2
70,2
80,2
90,2
100,2
110,2
120,2
130,2
140,2
150,2
160,1
170,1
180,1
190,1
200,1
210,1
220,1
230,1
240,1
250,1
260,1
270,1
280,1
290,1
300,1
310,1
320,1
330,1
340,1
350,1
360,1
370,1
380,1
390,1
400,1
410,1
420,1
430,1
440,1
450,1
460,1
470,1
480,1
490,1
500,1
510,1
520,1
530,1
540,1
550,1
560,1
570,1
580,1
590,1
600,1
610,2
620,2
630,2
640,2
650,2
660,2
670,2
680,2
690,2
700,2
710,2
720,2
730,2
740,3
750,3
760,3
770,3
780,3
790,3
800,3
810,3
820,2
830,2
840,2
850,2
860,2
870,2
880,2
890,2
900,2
910,3
920,3
930,3
940,3
950,3
960,3
970,3
980,3
990,3
1000,3
1010,3
1020,3
1030,3
1040,3
1050,3
1060,3
1070,3
1080,3
1090,3
1100,3
1110,3
1120,3
1130,3
1140,3
1150,3
1160,3
1170,3
1180,3
1190,3
1200,3
1210,3
1220,3
1230,3
1240,3
1250,3
1260,3
1270,3
1280,3
1290,3
1300,2
1310,2
1320,2
1330,2
1340,2
1350,2
1360,2
1370,2
1380,2
1390,2
1400,2
1410,2
1420,2
1430,2
1440,2
1450,2
1460,2
1470,1
1480,1
1490,1
1500,1
1510,1
1520,1
1530,1
1540,1
1550,1
1560,1
1570,1
1580,1
1590,1
1600,1
1610,1
1620,1
1630,1
1640,1
1650,1
1660,1
1670,1
1680,1
1690,1
1700,1
1710,1
1720,1
1730,1
1740,1
1750,1
1760,1
1770,1
1780,1
1790,1
1800,1
1810,1
1820,1
1830,1
1840,1
1850,1
1860,1
1870,1
1880,1
1890,1
1900,1
1910,2
1920,2
1930,3
1940,3
1950,3
1960,4
1970,4
1980,4
1990,4
2000,5
2010,5
2020,5
2030,5
2040,5
2050,5
2060,5
2070,5
2080,5
2090,5
2100,5
2110,5
2120,5
2130,5
2140,5
2150,5
2160,5
2170,5
2180,5
2190,5
2200,5
2210,5
2220,5
2230,5
2240,6
2250,6
2260,6
2270,6
2280,6
2290,6
2300,6
2310,6
2320,6
2330,5
2340,5
2350,5
2360,5
2370,5
2380,5
2390,5
2400,5
2410,5
2420,5
2430,5
2440,5
2450,5
2460,5
2470,5
2480,5
2490,5
2500,5
2510,5
2520,5
2530,5
2540,5
2550,5
2560,5
2570,5
2580,5
2590,5
2600,4
2610,4
2620,4
2630,4
2640,4
2650,4
2660,4
2670,4
2680,3
2690,3
2700,3
2710,3
2720,3
2730,3
2740,3
2750,3
2760,3
2770,3
2780,3
2790,3
2800,3
2810,3
2820,3
2830,3
2840,2
2850,2
2860,2
2870,2
2880,2
2890,2
